"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-10",,"84","45",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-11",,"77","35","35"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-12",,"74","35",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-13",,"80","30",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-14",,"57","21","23"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-15",,"71","23","37"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-16",,"82","32","33"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-17",,"57","29","34"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-18",,"77","34",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-19",,"68","40","41"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-20",,"80","41",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-21",,"84","45","47"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-22",,"87","47",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-23",,"89","44",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-24",,"73","36",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-25",,"64","37",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-26",,"60","32","40"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-27",,"72","40",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-28",,"84","48",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-29",,"85","50","56"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-30",,"86","35","40"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-01",,"79","55",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-02",,"61","50",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-03",,"63","50",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-04",,"81","54","59"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-05",,"91","56","65"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-06",,"94","62","66"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-07",,"91","59",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-08",,"88","57","57"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-09",,"76","57",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-10",,"90","58",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-11",,"95","60","65"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-12",,"101","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-13",,"104","76","78"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-14",,"101","69","72"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-15",,"99","62","70"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-16",,"90","66","76"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-17",,"99","69","71"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-18",,"95","62","67"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-19",,"93","65","69"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-20",,"92","63","67"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-21",,"88","65","67"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-22",,"67","56","61"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-23",,"80","61","64"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-24",,"91","64","72"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-25",,"95","68","68"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-26",,"86","59","59"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-27",,"71","56","58"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-28",,"71","52","57"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-29",,"86","57",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-06-30",,"90","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-01",,"96","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-02",,"91","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-03",,"91","62","65"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-04",,"94","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-05",,"95","70",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-06",,"97","68",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-07",,"93","62",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-08",,"93","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-09",,"92","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-10",,"96","67",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-11",,"99","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-12",,"101","63","65"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-13",,"84","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-14",,"91","67",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-15",,"96","70",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-16",,"99","69",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-17",,"100","70","75"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-18",,"96","66","70"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-19",,"101","70",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-20",,"103","69",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-21",,"94","64","66"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-22",,"94","66",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-23",,"99","67",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-24",,"100","70",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-25",,"96","66","66"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-26",,"96","66",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-27",,"98","68",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-28",,"95","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-29",,"86","63",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-30",,"79","59",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-07-31",,"83","62",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-01",,"87","69",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-02",,"90","65",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-03",,"95","68",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-04",,"92","68",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-05",,"90","66","68"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-06",,"94","67",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-07",,"95","69","71"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-08",,"94","66",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-09",,"85","62","64"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-10",,"89","64",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-11",,"86","63",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-12",,"89","62","67"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-13",,"92","57","64"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-14",,"93","62","64"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-15",,"95","64",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-16",,"95","63",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-17",,"88","62",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-18",,"79","62","66"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-19",,"83","62","63"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-20",,"86","63","66"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-21",,"74","60","61"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-22",,"67","57",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-23",,"78","55",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-24",,"82","54",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-25",,"84","56","57"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-26",,"85","57","60"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-27",,"87","60","64"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-28",,"89","59","60"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-29",,"93","60","61"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-30",,"88","61",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-08-31",,"83","60",
