2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Boston - Boston Adult Academy,00350548,      20,  12.9,        148,  48.0,  52.0,  86.5,   3.4,38.5
Boston - Boston Arts Academy,00350546,      25,  18.2,        445,  67.0,  33.0,   3.6,  14.8,44.7
Boston - Boston Collaborative High School,00350755,       9,  13.4,         95,  44.2,  55.8,  28.4,  16.8,61.1
Boston - Boston Community Leadership Academy,00350558,      28,  18.5,        433,  49.7,  50.3,  22.4,  18.0,56.1
Boston - Boston International High School,00350507,      60,  13.9,        466,  45.7,  54.3,  91.4,   5.6,63.5
Boston - Boston Latin,00350560,      92,  26.0,"      2,341",  55.2,  44.8,   0.0,   2.3,15.9
Boston - Boston Latin Academy,00350545,      69,  24.8,"      1,694",  57.7,  42.2,   0.2,   4.3,31.6
Boston - Boston Teachers Union School,00350012,      17,  19.2,        294,  45.2,  54.8,  12.9,  25.5,40.8
Boston - Brighton High,00350505,      46,  16.8,        617,  37.8,  62.2,  41.8,  16.2,65.3
Boston - Carter Developmental Center,00350036,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Boston - Charles H Taylor,00350054,      51,  18.6,        553,  48.6,  51.4,  36.7,  15.2,65.8
Boston - Charles Sumner,00350052,      48,  19.0,        494,  45.3,  54.7,  44.1,  27.3,58.7
Boston - Charlestown High,00350515,      56,  12.7,        649,  37.8,  62.1,  43.3,  18.2,63.5
Boston - Clarence R Edwards Middle,00350430,      23,  13.7,        306,  44.1,  55.9,  40.8,  34.6,69.6
Boston - Community Academy,00350518,       9,   7.0,         54,  44.4,  55.6,   9.3,  33.3,79.6
Boston - Community Academy of Science and Health,00350581,      34,  13.9,        349,  47.9,  52.1,  32.4,  35.0,69.9
Boston - Curley K-8 School,00350020,      58,  16.6,        877,  49.7,  50.3,  34.5,  27.7,57.4
Boston - Curtis Guild,00350062,      18,  15.1,        256,  50.8,  49.2,  59.0,  25.8,62.1
Boston - Dante Alighieri Montessori School,00350066,      10,   6.4,         63,  52.4,  47.6,  50.8,  19.0,25.4
Boston - David A Ellis,00350072,      23,  17.0,        392,  51.0,  49.0,  37.5,  14.3,80.9
Boston - Dearborn,00350074,      20,  17.5,        337,  49.3,  50.7,  38.3,  14.2,59.6
Boston - Dennis C Haley,00350077,      19,  22.2,        422,  49.5,  50.5,  19.9,  36.3,41.9
Boston - Donald Mckay,00350080,      34,  22.6,        756,  50.1,  49.9,  52.1,  14.2,56.5
Boston - Dorchester Academy,00350651,       5,   4.4,         18,  61.1,  38.9,   0.0,  22.2,61.1
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,       8,  18.1,        145,  45.5,  54.5,  64.8,  23.4,72.4
Boston - Dr. William Henderson Lower,00350266,      10,  21.4,        214,  50.9,  49.1,  21.5,  28.0,41.6
Boston - Dr. William Henderson Upper,00350426,      30,  22.9,        620,  45.2,  54.8,   9.7,  38.2,51.6
Boston - ELC - West Zone,00350006,       4,  16.5,         66,  39.4,  60.6,  33.3,  24.2,42.4
Boston - East Boston Early Childhood Center,00350009,       8,  15.6,        124,  53.2,  46.8,  50.0,  26.6,56.5
Boston - East Boston High,00350530,      80,  17.8,"      1,289",  42.8,  57.2,  42.1,  14.0,52.1
Boston - Edison K-8,00350375,      44,  14.7,        644,  45.0,  55.0,  42.9,  21.7,60.2
Boston - Edward Everett,00350088,      12,  19.8,        237,  50.6,  49.4,  23.2,  18.1,65
Boston - Eliot Elementary,00350096,      31,  18.5,        573,  50.3,  49.7,   6.6,  21.1,20.9
Boston - Ellis Mendell,00350100,      11,  21.3,        234,  51.7,  48.3,  19.2,  19.7,34.6
Boston - Excel High School,00350522,      32,  18.7,        489,  38.9,  61.1,  36.2,  21.5,62.6
Boston - Fenway High School,00350540,      17,  19.9,        339,  51.3,  48.7,  20.1,  21.5,52.5
Boston - Franklin D Roosevelt,00350116,      18,  22.7,        408,  47.5,  52.5,  17.9,  27.0,43.9
Boston - Gardner Pilot Academy,00350326,      21,  19.7,        363,  48.8,  51.2,  46.6,  27.0,51.2
Boston - George H Conley,00350122,      16,  13.8,        218,  47.2,  52.8,  30.7,  36.7,48.2
Boston - Greater Egleston Community High School,00350543,      14,  10.1,         79,  60.8,  39.2,  12.7,   6.3,68.4
Boston - Harvard-Kent,00350200,      26,  16.2,        422,  41.7,  58.3,  45.5,  25.6,69.9
Boston - Haynes Early Education Center,00350010,       8,  19.1,        153,  45.1,  54.9,  43.8,  14.4,68.6
Boston - Henry Grew,00350135,      12,  20.5,        246,  56.1,  43.9,  22.8,   8.1,68.7
Boston - Higginson,00350015,       9,  16.2,        146,  45.2,  54.8,  50.0,  28.1,84.2
Boston - Higginson/Lewis K-8,00350377,      21,  13.8,        290,  47.2,  52.8,  24.5,  37.6,79.3
Boston - Horace Mann School for the Deaf,00350750,      16,   6.2,         78,  39.7,  60.3,  69.2,  97.4,76.9
Boston - Hugh Roe O'Donnell,00350141,      12,  20.0,        240,  52.1,  47.9,  72.1,  12.5,55.8
Boston - Jackson Mann,00350013,      47,  14.2,        599,  43.9,  56.1,  40.6,  25.9,66.9
Boston - James Condon Elementary,00350146,      70,  20.9,        862,  48.0,  52.0,  29.9,  21.9,66.2
Boston - James J Chittick,00350154,      20,  14.6,        274,  45.3,  54.7,  16.4,  31.0,70.4
Boston - James Otis,00350156,      17,  19.9,        339,  50.1,  49.9,  58.7,  13.6,52.2
Boston - James P Timilty Middle,00350485,      37,  19.3,        353,  50.7,  49.3,  24.9,  21.5,68.3
Boston - James W Hennigan,00350153,      41,  15.0,        595,  53.4,  46.6,  48.6,  22.9,72.3
Boston - Jeremiah E Burke High,00350525,      34,  18.9,        446,  47.5,  52.5,  36.8,  12.3,61.2
Boston - John D Philbrick,00350172,       7,  22.1,        155,  47.7,  52.3,  16.1,  12.9,47.7
Boston - John F Kennedy,00350166,      21,  17.3,        363,  50.4,  49.6,  43.8,  17.1,68.3
Boston - John W McCormack,00350179,      28,  17.3,        396,  46.2,  53.8,  38.4,  28.5,74.2
Boston - John Winthrop,00350180,      16,  17.7,        282,  52.1,  47.9,  19.5,  17.4,77.3
Boston - Joseph J Hurley,00350182,      16,  20.6,        330,  50.9,  49.1,  54.8,  14.8,53.3
Boston - Joseph Lee,00350183,      21,  22.2,        465,  50.5,  49.5,  12.5,  18.3,66.2
Boston - Joseph P Manning,00350184,      10,  14.2,        142,  47.9,  52.1,   7.7,  31.7,31
Boston - Joseph P Tynan,00350181,      18,  10.7,        192,  44.3,  55.7,  22.4,  38.0,76
Boston - Josiah Quincy,00350286,      77,  18.9,        822,  50.7,  49.3,  51.8,  15.0,51.3
Boston - Joyce Kilmer,00350190,      26,  16.5,        428,  49.8,  50.2,   9.6,  23.6,25.7
Boston - King K-8,00350376,      21,  20.8,        420,  51.0,  49.0,  20.0,  17.4,76.2
Boston - Lee Academy,00350001,      10,  17.3,        173,  47.4,  52.6,  26.6,  27.2,62.4
Boston - Lilla G. Frederick Middle School,00350383,      37,  14.4,        530,  45.8,  54.2,  44.2,  25.5,73
Boston - Lyndon,00350262,      32,  16.3,        522,  48.1,  51.9,  12.8,  19.7,30.3
Boston - Lyon K-8,00350004,      15,  12.8,        127,  43.3,  56.7,   5.5,  31.5,48.8
Boston - Lyon Upper 9-12,00350655,      11,  12.5,        126,  43.7,  56.3,  14.3,  36.5,49.2
Boston - Madison Park High,00350537,      48,  15.8,        726,  42.6,  57.4,  33.6,  30.4,68.6
Boston - Manassah E Bradley,00350215,      13,  19.4,        252,  46.0,  54.0,  21.4,  18.3,45.6
Boston - Margarita Muniz Academy,00350549,      16,  18.8,        294,  58.2,  41.8,  42.2,  11.9,68.4
Boston - Mario Umana Academy,00350656,      56,  20.1,        974,  47.0,  53.0,  58.2,  14.2,60.1
Boston - Mather,00350227,      28,  20.3,        567,  49.4,  50.6,  39.5,  17.5,62.4
Boston - Mattapan Early Elementary School,00350016,      12,  16.5,        197,  42.1,  57.9,  38.1,  18.8,64
