2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Lynnfield-Lynnfield Middle School,01640405,  96.4,   6.5,  20.1,   4.1,  16.3
Lynnfield-Summer Street,01640020,  95.9,   7.3,  26.3,   5.3,   0.0
Lynnfield-Huckleberry Hill,01640010,  96.0,   7.1,  24.5,   4.4,   0.0
Lynnfield-Lynnfield Preschool,01640005,  95.7,   7.4,  25.0,  10.0,   0.0
MATCH Charter Public School (District)-MATCH Charter Public School,04690505,  94.8,   9.2,  32.3,  12.6,  19.5
Ma Academy for Math and Science-Ma Academy for Math and Science School,04680505,  99.1,   1.6,   2.1,   1.0,   2.1
Malden-Malden High,01650505,  91.9,  13.5,  38.9,  24.8,  34.5
Malden-Malden Early Learning Center,01650049,  90.5,  10.7,  42.2,  35.6,  42.2
Malden-Linden,01650047,  96.0,   6.9,  23.2,   8.9,  21.8
Malden-Forestdale,01650027,  95.5,   7.5,  28.0,  10.4,  20.7
Malden-Ferryway,01650013,  95.3,   8.1,  29.0,  11.9,  22.1
Malden-Beebe,01650003,  96.5,   6.1,  22.1,   6.9,  19.3
Malden-Salemwood,01650057,  95.2,   8.0,  31.7,  14.3,  22.8
Manchester Essex Regional-Manchester Essex Regional High School,06980510,  95.0,   9.1,  42.0,   8.6,   2.0
Manchester Essex Regional-Manchester Essex Regional Middle School,06980030,  95.6,   8.2,  35.0,   5.3,   2.7
Manchester Essex Regional-Manchester Memorial Elementary,06980010,  96.1,   7.2,  28.7,   3.2,   2.3
Manchester Essex Regional-Essex Elementary,06980020,  96.0,   7.4,  28.9,   3.5,   1.3
Mansfield-Mansfield High,01670505,  94.2,  10.0,  29.5,  10.8,  11.9
Mansfield-Roland Green School,01670003,  79.0,  17.0,  38.6,  66.1,   0.0
Mansfield-Jordan/Jackson Elementary,01670014,  96.2,   6.7,  22.4,   5.2,  14.5
Mansfield-Harold L Qualters Middle,01670035,  95.9,   7.4,  23.5,   6.2,  12.0
Mansfield-Everett W Robinson,01670007,  96.0,   7.0,  25.1,   4.4,  12.9
Marblehead-L H Coffin,01680010,  96.2,   6.7,  26.6,   3.8,   2.5
Marblehead-Elbridge Gerry,01680015,  95.7,   7.6,  27.1,   9.3,   0.0
Marblehead-Village School,01680016,  96.0,   7.1,  21.8,   5.8,   2.9
Marblehead-Marblehead High,01680505,  95.4,   8.1,  25.3,   9.9,   4.1
Marblehead-Glover,01680020,  96.4,   6.4,  17.8,   3.9,   1.3
Marblehead-Marblehead Veterans Middle School,01680300,  96.2,   6.7,  22.7,   6.6,   3.2
Marblehead-Malcolm L Bell,01680005,  95.8,   7.5,  29.5,   5.0,   0.4
Marblehead Community Charter Public (District)-Marblehead Community Charter Public School,04640305,  95.7,   7.6,  25.1,   6.8,   0.9
Marion-Sippican,01690005,  96.4,   6.3,  21.2,   2.8,   5.4
Marlborough-Marlborough High,01700505,  92.2,  13.1,  40.6,  23.8,  25.4
Marlborough-1 LT Charles W. Whitcomb School,01700045,  94.9,   8.7,  32.1,  11.9,  17.5
Marlborough-Charles Jaworek School,01700030,  95.2,   8.0,  31.5,  10.7,  31.0
Marlborough-Richer,01700025,  95.0,   8.3,  33.0,  12.3,  13.3
Marlborough-Francis J Kane,01700008,  94.8,   8.8,  34.5,  10.2,  18.3
Marlborough-Early Childhood Center,01700006,  91.9,  12.7,  43.9,  26.0,  43.9
Marshfield-Marshfield High,01710505,  96.1,   6.6,  17.1,   6.7,   8.8
Marshfield-Gov Edward Winslow,01710020,  96.0,   7.1,  23.6,   4.3,  15.6
Marshfield-Martinson Elementary,01710025,  96.3,   6.4,  20.0,   4.5,  12.7
Marshfield-Furnace Brook Middle,01710310,  96.1,   7.0,  23.1,   4.7,  11.5
Marshfield-Daniel Webster,01710015,  95.5,   7.7,  27.8,   7.1,  21.5
Marshfield-Eames Way School,01710005,  96.3,   6.7,  21.8,   2.9,   9.9
Marshfield-South River,01710010,  96.6,   6.1,  19.2,   2.1,  12.0
Martha's Vineyard-Martha's Vineyard Regional High,07000505,  92.8,  12.3,  53.4,  23.8,  33.5
Martha's Vineyard Charter (District)-Martha's Vineyard Charter School,04660550,  95.0,   8.9,  32.3,  12.9,   0.0
Martin Luther King Jr. Charter School of Excellence (District)-Martin Luther King Jr. Charter School of Excellence,04920005,  94.9,   9.1,  41.1,   9.1,  22.8
Masconomet-Masconomet Regional High School,07050505,  95.7,   7.7,  26.2,   8.3,   2.9
Masconomet-Masconomet Regional Middle School,07050405,  95.8,   7.5,  25.0,   6.5,  17.6
Mashpee-Kenneth Coombs School,01720005,  94.0,  10.4,  42.3,  14.8,  11.1
Mashpee-Mashpee Middle School,01720020,  94.8,   9.3,  38.9,   9.8,   0.0
Mashpee-Quashnet School,01720035,  95.0,   8.7,  37.6,   9.6,  12.6
Mashpee-Mashpee High,01720505,  90.5,  16.7,  56.6,  24.9,  30.8
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District-Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010900,  91.1,  12.9,  42.7,  34.4,  36.5
Mattapoisett-Center,01730005,  95.6,   7.6,  30.8,   6.4,   5.2
Mattapoisett-Old Hammondtown,01730010,  96.4,   6.5,  24.0,   3.8,   5.3
Maynard-Maynard High,01740505,  93.6,  10.9,  31.2,  14.5,  20.1
Maynard-Fowler School,01740305,  96.0,   7.1,  23.2,   8.3,   4.2
Maynard-Green Meadow,01740010,  95.7,   7.6,  26.7,   9.5,  26.7
Medfield-Thomas Blake Middle,01750305,  96.8,   5.8,  13.9,   3.0,   1.1
Medfield-Ralph Wheelock School,01750007,  96.7,   5.8,  15.9,   2.1,   1.8
Medfield-Medfield Senior High,01750505,  96.4,   6.3,  17.5,   5.2,  11.3
Medfield-Dale Street,01750005,  96.9,   5.6,  14.9,   2.7,   1.6
Medfield-Memorial School,01750003,  96.3,   6.1,  18.4,   2.5,   0.7
Medford-Christopher Columbus,01760140,  95.0,   8.6,  35.6,  10.1,  28.1
Medford-Milton Fuller Roberts,01760150,  95.5,   7.7,  28.9,   9.9,  28.9
Medford-John J McGlynn Elementary School,01760068,  96.0,   6.8,  23.0,   7.5,  19.7
Medford-Medford High,01760505,  93.7,  10.8,  44.1,  17.6,  33.7
Medford-Madeleine Dugger Andrews,01760315,  95.3,   8.3,  29.6,   8.7,  26.5
Medford-Brooks School,01760130,  95.8,   7.2,  25.2,   9.7,  23.3
Medford-Curtis-Tufts,01760510,  69.2,  46.8, 100.0,  93.8, 100.0
Medford-John J. McGlynn Middle School,01760320,  96.1,   6.7,  25.6,   8.0,  21.5
Medway-Burke/Memorial Elementary School,01770015,  96.3,   6.6,  22.7,   3.7,  19.8
Medway-Medway High,01770505,  94.3,  10.1,  36.1,  13.5,  23.9
Medway-John D Mc Govern Elementary,01770013,  95.9,   7.2,  24.1,   6.6,  20.4
Medway-Medway Middle,01770305,  96.2,   6.9,  24.6,   6.1,  18.5
Melrose-Horace Mann,01780025,  97.0,   5.4,  12.9,   2.9,   7.5
Melrose-Lincoln,01780020,  96.1,   6.8,  23.4,   5.5,  20.2
Melrose-Herbert Clark Hoover,01780017,  96.3,   6.6,  24.3,   8.1,   7.4
Melrose-Early Childhood Center,01780003,  95.7,   7.7,  25.3,   7.3,  25.3
Melrose-Melrose High,01780505,  95.4,   8.0,  27.8,   9.6,  21.2
Melrose-Melrose Middle,01780305,  96.0,   7.0,  25.7,   5.5,   5.4
Melrose-Winthrop,01780050,  97.0,   5.4,  11.7,   1.0,   2.0
Melrose-Roosevelt,01780035,  96.0,   7.0,  24.7,   4.9,  20.2
Mendon-Upton-Memorial School,07100001,  96.0,   7.0,  24.0,   5.0,  13.9
Mendon-Upton-Miscoe Hill School,07100015,  96.3,   6.6,  21.4,   4.6,  14.2
Mendon-Upton-Nipmuc Regional High,07100510,  93.9,  10.6,  36.8,  14.4,  22.9
Mendon-Upton-Henry P Clough,07100179,  95.9,   7.2,  24.5,   4.7,  20.1
Methuen-Donald P Timony Grammar,01810060,  95.3,   8.0,  32.9,  10.4,   0.0
Methuen-Tenney Grammar School,01810055,  95.0,   8.5,  33.5,  10.9,   0.0
Methuen-Comprehensive Grammar School,01810050,  95.2,   8.2,  31.5,  10.4,   0.0
Methuen-Marsh Grammar School,01810030,  94.6,   9.4,  37.9,  11.6,   0.0
Methuen-Methuen High,01810505,  89.1,  18.6,  60.1,  37.0,   0.0
Middleborough-Mary K. Goode Elementary School,01820010,  95.5,   7.9,  29.7,   7.0,  21.6
Middleborough-Memorial Early Childhood Center,01820011,  94.8,   8.9,  33.5,  13.6,  33.5
Middleborough-John T. Nichols Middle,01820305,  94.8,   9.3,  36.4,  10.9,  26.4
Middleborough-Middleborough High,01820505,  93.8,  10.6,  33.4,  14.9,  15.8
Middleborough-Henry B. Burkland Elementary School,01820008,  96.0,   7.0,  25.8,   3.9,  17.3
Middleton-Fuller Meadow,01840003,  96.0,   7.1,  24.1,   4.3,   0.0
Middleton-Howe-Manning,01840005,  96.0,   7.1,  23.1,   4.5,   0.0
Milford-Woodland,01850090,  96.3,   6.5,  22.4,   6.2,  15.4
Milford-Stacy Middle,01850305,  95.1,   8.5,  29.0,  10.9,  21.1
Milford-Milford High,01850505,  93.2,  11.5,  38.3,  21.5,  28.7
Milford-Memorial,01850010,  95.4,   7.9,  29.4,  10.0,  22.6
Milford-Brookside,01850065,  95.5,   7.7,  26.8,  10.3,  20.9
Milford-Shining Star Early Childhood Center,01850075,  95.0,   7.5,  26.9,  13.2,  26.4
Millbury-Raymond E. Shaw Elementary,01860025,  96.8,   5.7,  16.7,   3.4,   9.5
Millbury-Elmwood Street,01860017,  95.5,   7.6,  28.0,   7.8,  19.4
Millbury-Millbury Junior/Senior High,01860505,  95.5,   8.0,  25.3,   7.2,   8.5
Millis-Clyde F Brown,01870005,  95.9,   7.1,  23.7,   6.3,   0.0
Millis-Millis Middle,01870020,  96.2,   6.8,  23.7,   6.4,   0.0
Millis-Millis High School,01870505,  95.7,   7.6,  23.2,   8.6,  21.5
Milton-Cunningham School,01890007,  96.9,   5.5,  15.5,   2.2,   8.3
Milton-Collicot,01890005,  96.3,   6.6,  19.2,   3.8,   9.4
Milton-Glover,01890010,  96.0,   7.0,  25.8,   3.5,  11.6
Milton-Milton High,01890505,  96.1,   6.7,  20.1,   7.3,   4.6
Milton-Charles S Pierce Middle,01890410,  96.0,   7.2,  24.6,   4.8,  19.2
Milton-Tucker,01890020,  96.8,   5.6,  13.6,   2.7,  13.6
Minuteman Regional Vocational Technical-Minuteman Regional High,08300605,  94.3,  10.2,  38.8,  13.2,  26.7
Mohawk Trail-Mohawk Trail Regional High,07170505,  93.4,  11.5,  37.9,  15.3,   9.2
Mohawk Trail-Colrain Central,07170010,  94.3,   9.6,  32.7,  15.9,  15.0
Mohawk Trail-Sanderson Academy,07170020,  94.3,  10.1,  37.9,  11.8,  19.3
Mohawk Trail-Buckland-Shelburne Regional,07170005,  95.4,   8.0,  27.1,   7.4,   9.5
Monomoy Regional School District-Harwich Elementary School,07120002,  95.2,   8.3,  30.2,   8.4,  26.0
Monomoy Regional School District-Monomoy Regional Middle School,07120315,  94.7,   9.3,  35.7,  12.4,  29.3
Monomoy Regional School District-Chatham Elementary School,07120001,  95.1,   8.6,  32.4,   9.9,  24.9
Monomoy Regional School District-Monomoy Regional High School,07120515,  93.6,  11.0,  44.7,  17.6,  31.9
Monson-Monson High School,01910505,  94.8,   8.8,  28.3,   9.4,  17.7
Monson-Granite Valley Middle,01910310,  95.2,   8.6,  33.8,   8.8,  24.6
Monson-Quarry Hill Community School,01910025,  95.2,   8.4,  32.1,   9.4,  17.6
Montachusett Regional Vocational Technical-Montachusett Regional Vocational Technical,08320605,  95.3,   8.1,  29.5,  10.8,  14.8
Mount Greylock-Mt Greylock Regional High,07150505,  94.8,   9.2,  36.7,  12.6,   9.4
Mystic Valley Regional Charter (District)-Mystic Valley Regional Charter School,04700105,  96.4,   7.1,  25.9,   2.4,   0.0
Nahant-Johnson,01960010,  95.8,   6.9,  20.5,   3.8,   3.8
Nantucket-Nantucket High,01970505,  93.0,  12.0,  49.0,  21.9,  16.8
Nantucket-Nantucket Intermediate School,01970020,  95.1,   8.6,  35.5,   8.3,   7.0
Nantucket-Cyrus Peirce,01970010,  95.4,   8.0,  31.9,   6.5,   8.2
Nantucket-Nantucket Elementary,01970005,  93.6,  11.0,  47.1,  19.1,   7.6
Narragansett-Narragansett Regional High,07200505,  95.0,   8.6,  34.8,   9.8,  17.5
Narragansett-Narragansett Middle,07200305,  96.0,   7.2,  25.5,   6.2,  18.5
Narragansett-Templeton Center,07200020,  95.3,   8.3,  29.5,  10.4,  10.9
Narragansett-Baldwinville Elementary,07200005,  95.9,   7.2,  24.2,   5.5,   3.1
Narragansett-Phillipston Memorial,07200003,  95.4,   8.1,  29.4,   8.3,   2.2
Nashoba-Luther Burbank Middle School,07250305,  95.8,   7.4,  24.6,   9.1,   0.0
Nashoba-Florence Sawyer School,07250025,  95.9,   7.1,  26.1,   4.9,   0.0
Nashoba-Center School,07250020,  95.9,   7.2,  26.3,   4.3,   0.0
Nashoba-Nashoba Regional,07250505,  94.8,   9.2,  32.6,  10.8,   0.0
Nashoba-Hale,07250310,  96.3,   6.7,  21.7,   3.3,   0.0
Nashoba-Mary Rowlandson Elementary,07250010,  96.3,   6.4,  22.6,   4.3,   0.0
Nashoba Valley Regional Vocational Technical-Nashoba Valley Technical High School,08520605,  96.5,   6.1,  17.5,   4.4,   2.8
Natick-Lilja Elementary,01980035,  96.6,   6.0,  16.3,   3.4,   0.0
Natick-Memorial,01980043,  97.0,   5.3,  11.4,   2.4,   0.0
Natick-J F Kennedy Middle School,01980305,  96.9,   5.5,  16.2,   2.8,   0.0
Natick-Wilson Middle,01980310,  96.4,   6.3,  19.1,   4.2,   0.0
Natick-Johnson,01980031,  96.7,   5.9,  16.2,   2.6,   0.0
Natick-Bennett-Hemenway,01980005,  96.6,   6.0,  19.0,   2.8,   0.0
Natick-Brown,01980010,  96.6,   5.8,  17.7,   1.5,   0.0
Natick-Natick High,01980505,  95.4,   7.9,  25.0,   9.6,   2.3
Nauset-Nauset Regional Middle,06600305,  94.5,   9.8,  42.6,  12.2,   7.3
Nauset-Nauset Regional High,06600505,  93.3,  11.5,  46.6,  19.6,  37.8
Needham-William Mitchell,01990040,  96.9,   5.6,  16.9,   1.8,   0.0
Needham-Hillside Elementary,01990035,  96.5,   6.2,  20.6,   3.1,   0.0
Needham-John Eliot,01990020,  96.9,   5.5,  16.3,   1.8,   0.0
Needham-Broadmeadow,01990005,  96.9,   5.5,  15.2,   2.4,   0.0
Needham-Newman Elementary,01990050,  96.1,   6.8,  19.8,   7.1,   0.0
Needham-Needham High,01990505,  95.4,   8.2,  26.0,   9.1,   0.1
Needham-High Rock School,01990410,  96.8,   5.8,  16.9,   2.4,   0.0
Needham-Pollard Middle,01990405,  96.3,   6.7,  21.9,   5.4,   0.0
Neighborhood House Charter (District)-Neighborhood House Charter School,04440205,  95.2,   8.1,  28.8,  11.1,  13.5
New Bedford-Ellen R Hathaway,02010075,  94.2,  10.0,  39.4,  16.8,  30.7
New Bedford-Hayden/McFadden,02010078,  93.3,  11.5,  47.5,  20.2,  38.2
New Bedford-Abraham Lincoln,02010095,  94.5,   9.7,  41.7,  13.9,  36.3
New Bedford-Carlos Pacheco,02010105,  94.6,   9.3,  39.8,  14.4,  32.0
New Bedford-John Avery Parker,02010115,  93.6,  11.5,  47.5,  18.3,  34.9
New Bedford-Casimir Pulaski,02010123,  95.2,   8.4,  30.5,  10.4,  21.2
New Bedford-Renaissance Community School for the Arts,02010124,  94.1,  10.6,  42.3,  17.1,  37.4
New Bedford-Thomas R Rodman,02010125,  94.8,   9.3,  37.6,  12.7,  27.4
New Bedford-Jireh Swift,02010130,  96.1,   6.8,  24.8,   5.8,  13.3
New Bedford-William H Taylor,02010135,  94.4,   9.8,  35.9,  15.2,  27.5
New Bedford-Betsey B Winslow,02010140,  95.9,   7.2,  24.4,   9.0,  15.4
New Bedford-Keith Middle School,02010405,  93.0,  12.0,  49.2,  25.1,  41.6
New Bedford-Normandin Middle School,02010410,  93.5,  11.3,  42.4,  20.3,  34.1
New Bedford-Roosevelt Middle School,02010415,  91.5,  14.2,  48.0,  28.6,  41.4
New Bedford-New Bedford High,02010505,  89.2,  17.3,  63.5,  45.3,  55.3
New Bedford-Irwin M. Jacobs Elementary School,02010070,  93.2,  11.2,  45.3,  20.1,  40.1
New Bedford-Alfred J Gomes,02010063,  94.2,  10.1,  43.8,  17.0,  34.2
New Bedford-John B Devalles,02010050,  93.0,  12.0,  48.8,  21.6,  39.3
New Bedford-Sgt Wm H Carney Academy,02010045,  93.6,  11.3,  45.2,  19.9,  39.8
New Bedford-James B Congdon,02010040,  94.5,   9.5,  38.5,  13.6,  30.3
New Bedford-Elwyn G Campbell,02010020,  94.0,  10.6,  44.8,  15.5,  35.0
New Bedford-Elizabeth Carter Brooks,02010015,  94.7,   9.4,  40.5,  10.5,  27.5
New Bedford-Charles S Ashley,02010010,  95.3,   8.2,  30.4,   9.9,  21.9
New Bedford-Trinity Day Academy,02010510,  77.6,  36.8,  80.0,  66.3,  71.3
New Bedford-Whaling City Junior/Senior High School,02010515,  76.8,  32.2,  78.7,  77.8,  72.2
New Heights Charter School of Brockton (District)-New Heights Charter School of Brockton,35130305,  96.8,   5.5,  14.8,   5.6,   1.8
New Salem-Wendell-Swift River,07280015,  94.5,   9.9,  38.5,   9.9,   0.0
Newburyport-Francis T Bresnahan Elementary,02040005,  96.1,   6.9,  21.9,   6.1,   0.0
Newburyport-Edward G. Molin Elementary School,02040030,  96.0,   7.1,  27.0,   3.7,   0.0
Newburyport-Rupert A Nock Middle,02040305,  96.0,   7.1,  23.7,   6.0,   0.0
Newburyport-Newburyport High,02040505,  95.2,   8.3,  25.5,   9.9,   0.0
Newton-Oak Hill Middle,02070320,  95.9,   7.2,  24.5,   6.4,   0.8
Newton-Newton South High,02070510,  94.6,   9.5,  39.2,  13.1,   1.3
Newton-A E Angier,02070005,  95.9,   7.3,  26.8,   6.3,   0.0
Newton-Bowen,02070015,  96.0,   7.1,  23.8,   6.8,   0.5
Newton-C C Burr,02070020,  96.2,   6.7,  22.0,   6.1,   1.5
Newton-Cabot,02070025,  96.4,   6.3,  20.7,   3.2,   3.7
Newton-Countryside,02070040,  96.0,   7.0,  26.4,   6.1,   0.0
Newton-Franklin,02070055,  96.2,   6.6,  21.2,   5.3,   0.0
Newton-Lincoln-Eliot,02070070,  95.7,   7.5,  28.7,   8.7,   6.1
Newton-Horace Mann,02070075,  96.3,   6.7,  25.6,   4.9,   0.0
Newton-Mason-Rice,02070080,  95.5,   7.9,  29.2,   5.9,   0.2
Newton-Peirce,02070100,  95.7,   7.6,  30.2,   5.8,   0.4
Newton-Memorial Spaulding,02070105,  95.0,   8.8,  36.4,   9.6,   0.2
Newton-Newton Early Childhood Center,02070108,  93.0,  10.3,  40.6,  22.7,   1.7
Newton-Underwood,02070115,  96.8,   5.6,  15.7,   2.7,   0.0
Newton-John Ward,02070120,  96.9,   5.5,  14.7,   2.9,   0.0
Newton-Williams,02070125,  96.5,   6.0,  17.5,   3.6,   0.0
Newton-Zervas,02070130,  96.2,   6.6,  22.4,   7.4,   0.0
Newton-Bigelow Middle,02070305,  95.3,   8.3,  27.5,   9.9,   2.1
Newton-Charles E Brown Middle,02070310,  95.8,   7.4,  25.5,   6.4,   0.4
Newton-F A Day Middle,02070315,  95.8,   7.5,  25.8,   7.2,   1.1
Newton-Newton North High,02070505,  95.8,   7.3,  26.0,   7.2,   0.4
Norfolk-Freeman-Kennedy School,02080005,  96.9,   5.5,  15.6,   2.6,   1.0
Norfolk-H Olive Day,02080015,  96.5,   6.1,  20.9,   3.8,   0.8
Norfolk County Agricultural-Norfolk County Agricultural,09150705,  94.3,  10.0,  40.0,  13.8,  37.3
North Adams-Colegrove Park Elementary,02090008,  94.4,   9.5,  34.6,  15.1,  20.6
North Adams-Greylock,02090015,  95.4,   7.8,  27.7,  10.7,  18.6
North Adams-Brayton,02090035,  95.1,   8.4,  28.9,  10.5,  19.9
North Adams-Drury High,02090505,  92.6,  12.7,  43.3,  23.1,  24.6
North Andover-Franklin,02110010,  95.3,   8.2,  32.0,   8.8,   3.0
North Andover-Kittredge,02110015,  96.0,   7.1,  26.4,   5.4,   2.0
North Andover-Annie L Sargent School,02110018,  96.3,   6.5,  19.8,   4.2,   1.0
North Andover-Thomson,02110020,  95.4,   8.0,  32.5,   9.1,   3.4
North Andover-North Andover Middle,02110305,  95.0,   9.0,  33.1,  11.0,   3.8
North Andover-North Andover High,02110505,  94.4,  10.0,  29.3,  11.3,   7.0
North Andover-Atkinson,02110001,  95.3,   7.9,  28.7,  10.3,  10.2
North Attleborough-North Attleborough Middle,02120305,  95.8,   7.4,  23.7,   8.3,  17.7
North Attleborough-North Attleboro High,02120505,  94.8,   8.9,  27.6,  11.3,   8.5
North Attleborough-Community,02120030,  95.3,   8.2,  31.6,  12.0,  25.8
North Attleborough-North Attleborough Early Learning Center,02120020,  93.7,   9.7,  40.5,  19.0,  14.9
North Attleborough-Roosevelt Avenue,02120015,  96.1,   6.8,  22.3,   5.1,   3.8
North Attleborough-Joseph W Martin Jr Elementary,02120013,  96.5,   6.3,  21.3,   3.6,  17.5
North Attleborough-Falls,02120010,  96.8,   5.7,  17.4,   3.3,   9.8
North Attleborough-Amvet Boulevard,02120007,  95.8,   7.4,  24.7,   6.4,  16.0
North Brookfield-North Brookfield Elementary,02150015,  95.2,   8.1,  30.3,   9.4,  30.3
North Brookfield-North Brookfield High,02150505,  94.7,   9.0,  33.5,  13.1,  33.5
North Middlesex-Ashby Elementary,07350010,  95.4,   8.2,  30.3,  10.3,  23.8
North Middlesex-Nissitissit Middle School,07350310,  95.7,   7.8,  27.5,   7.0,  23.5
North Middlesex-Varnum Brook,07350035,  95.9,   7.2,  26.1,   5.1,   4.2
North Middlesex-Squannacook Early Childhood Center,07350002,  92.4,   8.5,  30.6,  25.0,  28.7
North Middlesex-Spaulding Memorial,07350005,  95.6,   7.8,  29.8,   6.7,  20.8
North Middlesex-North Middlesex Regional,07350505,  93.9,  10.7,  38.8,  15.5,  27.3
North Middlesex-Hawthorne Brook,07350030,  95.7,   7.6,  29.0,   7.3,  22.9
North Reading-J Turner Hood,02170010,  96.7,   5.8,  15.5,   3.2,   0.0
North Reading-North Reading Middle,02170305,  96.2,   6.7,  22.1,   6.2,   2.4
North Reading-North Reading High,02170505,  95.7,   7.6,  25.3,   7.1,   0.0
North Reading-E Ethel Little School,02170003,  96.4,   6.3,  18.9,   4.7,   0.0
North Reading-L D Batchelder,02170005,  96.6,   6.1,  17.6,   2.5,   0.0
Northampton-Leeds,02100025,  95.2,   8.3,  30.3,   9.4,   1.5
Northampton-Jackson Street,02100020,  96.2,   6.7,  22.8,   5.2,   3.6
Northampton-Bridge Street,02100005,  94.6,   9.0,  38.7,  13.1,  20.3
Northampton-Northampton High,02100505,  94.2,  10.2,  34.7,  15.1,  25.4
Northampton-John F Kennedy Middle School,02100410,  95.1,   8.7,  32.8,  12.1,  26.2
Northampton-R. K. Finn Ryan Road,02100029,  95.4,   8.0,  29.3,  11.4,   4.8
Northampton-Smith Vocational Agricultural-Smith Vocational and Agricultural High,04060705,  93.9,  10.6,  42.5,  15.6,  23.6
Northboro-Southboro-Algonquin Regional High,07300505,  94.9,   9.0,  31.0,  11.3,   2.8
Northborough-Marion E Zeh,02130020,  96.8,   5.7,  18.3,   3.3,   0.0
Northborough-Robert E. Melican Middle School,02130305,  95.9,   7.3,  26.4,   7.7,   2.5
Northborough-Lincoln Street,02130003,  96.4,   6.3,  19.6,   4.6,   0.0
Northborough-Marguerite E Peaslee,02130014,  96.5,   6.3,  20.7,   2.9,   4.4
Northborough-Fannie E Proctor,02130015,  96.3,   6.5,  23.6,   5.1,   4.3
Northbridge-Northbridge Middle,02140305,  95.1,   8.6,  28.0,  11.9,  18.8
Northbridge-Northbridge Elementary,02140005,  94.7,   8.6,  35.5,  14.9,  23.2
Northbridge-Northbridge High,02140505,  92.9,  12.0,  42.0,  21.4,  29.2
Northbridge-W Edward Balmer,02140001,  96.0,   7.0,  26.4,   6.7,  15.5
Northeast Metropolitan Regional Vocational Technical-Northeast Metro Regional Vocational,08530605,  95.4,   8.0,  30.7,   7.7,  28.2
Northern Berkshire Regional Vocational Technical-Charles McCann Vocational Technical,08510605,  93.3,  11.6,  41.5,  20.8,  38.3
Norton-Norton High,02180505,  94.6,   9.4,  33.0,  13.5,  16.8
Norton-Norton Middle,02180305,  95.9,   7.3,  25.8,   8.0,  18.8
Norton-Henri A. Yelle,02180060,  96.0,   7.0,  23.4,   7.5,  16.5
Norton-J C Solmonese,02180015,  95.8,   7.2,  28.4,   7.3,  22.4
Norton-L G Nourse Elementary,02180010,  95.2,   8.3,  30.7,  10.2,  20.5
Norwell-Norwell High,02190505,  95.0,   8.7,  34.1,   9.4,  22.7
Norwell-Grace Farrar Cole,02190005,  96.1,   6.8,  23.0,   3.9,  20.1
Norwell-Norwell Middle School,02190405,  95.6,   7.9,  29.2,   6.1,  20.2
Norwell-William G Vinal,02190020,  95.7,   7.6,  28.1,   4.6,   2.5
Norwood-John P Oldham,02200020,  96.0,   7.0,  26.4,   5.5,  26.4
Norwood-Charles J Prescott,02200025,  95.4,   7.8,  28.5,  11.3,  27.7
Norwood-George F. Willett,02200075,  93.6,  10.5,  43.3,  18.6,  43.3
Norwood-Balch,02200005,  95.4,   8.1,  31.8,   8.9,  31.8
Norwood-Dr. Philip O. Coakley Middle School,02200305,  94.8,   9.1,  37.3,  12.5,  27.0
Norwood-Norwood High,02200505,  94.0,  10.3,  31.9,  16.4,  20.4
Norwood-F A Cleveland,02200015,  96.1,   6.8,  22.4,   5.3,  22.4
Norwood-Cornelius M Callahan,02200010,  95.1,   8.5,  38.6,  13.0,  38.1
Oak Bluffs-Oak Bluffs Elementary,02210005,  95.6,   7.6,  29.9,   8.8,   0.2
Old Colony Regional Vocational Technical-Old Colony Regional Vocational Technical,08550605,  96.8,   5.5,  14.8,   5.1,   0.9
Old Rochester-Old Rochester Regional High,07400505,  95.3,   8.2,  28.0,   9.6,   8.4
Old Rochester-Old Rochester Regional Jr High,07400405,  95.9,   7.4,  25.9,   7.2,   3.9
Old Sturbridge Academy Charter Public School (District)-Old Sturbridge Academy Charter Public School,35150205,  94.4,   9.5,  37.9,  11.2,  29.2
Orange-Fisher Hill,02230015,  93.1,  11.6,  47.1,  18.3,   0.0
Orange-Dexter Park,02230010,  94.7,   9.2,  34.4,  12.7,   9.0
Orleans-Orleans Elementary,02240005,  94.6,   9.5,  41.2,  10.7,  17.2
Oxford-Clara Barton,02260005,  95.7,   7.6,  27.1,   8.2,  20.2
Oxford-Alfred M Chaffee,02260010,  96.8,   5.4,  17.5,   9.6,  16.2
Oxford-Oxford Middle,02260405,  95.8,   7.4,  24.7,   5.3,  15.3
Oxford-Project C.O.F.F.E.E.,02260305,  67.3,  45.2,  92.1,  76.3,  71.1
Oxford-Oxford High,02260505,  92.0,  13.9,  45.6,  21.4,  38.8
Palmer-Palmer High,02270505,  94.4,   9.6,  29.2,  14.0,  14.7
Palmer-Old Mill Pond,02270008,  95.3,   7.7,  25.4,  11.9,  12.7
Pathfinder Regional Vocational Technical-Pathfinder Vocational Technical,08600605,  95.5,   7.7,  28.1,   5.4,  12.0
Paulo Freire Social Justice Charter School (District)-Paulo Freire Social Justice Charter School,35010505,  82.1,  29.5,  78.5,  58.8,   4.8
Peabody-John E Burke,02290007,  95.6,   7.9,  28.1,   6.8,  28.1
