2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Boston-Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,  93.6,  10.6,  38.9,  23.2,  25.1
Boston-Franklin D Roosevelt,00350116,  95.3,   8.2,  32.1,  11.0,  16.5
Boston-Samuel W Mason,00350304,  92.8,  12.4,  51.4,  23.5,  44.5
Boston-Sarah Greenwood,00350308,  91.9,  13.6,  56.5,  31.2,  48.8
Boston-Gardner Pilot Academy,00350326,  95.2,   8.5,  33.6,  11.9,  21.4
Boston-Thomas J Kenny,00350328,  93.1,  11.7,  46.2,  24.0,  31.6
Boston-Warren-Prescott,00350346,  94.6,   9.4,  36.1,  12.1,  23.6
Boston-Haynes Early Education Center,00350010,  93.8,  10.6,  39.7,  16.4,  28.8
Boston-Mather,00350227,  93.4,  11.4,  45.9,  20.8,  36.1
Boston-Community Academy,00350518,  80.9,  18.5,  38.7,  36.1,  37.0
Boston-Excel High School,00350522,  85.3,  24.5,  66.2,  47.6,  58.6
Boston-Jeremiah E Burke High,00350525,  91.0,  14.4,  50.3,  34.3,  43.3
Boston-East Boston High,00350530,  86.0,  23.1,  61.3,  45.1,  52.3
Boston-The English High,00350535,  89.2,  17.6,  60.9,  41.9,  52.2
Boston-Madison Park High,00350537,  85.4,  24.8,  63.5,  46.8,  57.6
Boston-Fenway High School,00350540,  93.2,  12.1,  44.4,  21.1,  31.7
Boston-Another Course To College,00350541,  88.0,  19.9,  64.1,  44.0,  51.3
Boston-New Mission High School,00350542,  92.1,  13.9,  52.8,  26.9,  42.8
Boston-Greater Egleston Community High School,00350543,  51.1,  71.4,  93.2,  93.2,  93.2
Boston-Boston Latin Academy,00350545,  94.7,   9.5,  32.9,  12.1,  13.1
Boston-Boston Arts Academy,00350546,  91.9,  14.3,  52.2,  24.7,  30.7
Boston-Boston Adult Academy,00350548,  79.3,  29.3,  69.8,  60.8,  69.8
Boston-Margarita Muniz Academy,00350549,  91.6,  14.3,  53.8,  27.1,  36.6
Boston-Boston Community Leadership Academy,00350558,  90.5,  16.6,  64.8,  35.0,  49.8
Boston-Boston Latin,00350560,  95.3,   8.5,  31.5,   7.6,   5.0
Boston-Lyon Upper 9-12,00350655,  86.4,  22.8,  74.0,  57.3,  61.8
Boston-Mario Umana Academy,00350656,  93.9,  10.7,  43.7,  19.7,  24.0
Boston-TechBoston Academy,00350657,  90.8,  15.4,  48.2,  29.6,  39.5
Boston-West Roxbury Academy,00350658,  86.2,  22.7,  68.3,  46.8,  62.9
Boston-James P Timilty Middle,00350485,  89.2,  18.1,  64.3,  38.9,  58.8
Boston-Brighton High,00350505,  81.8,  29.4,  75.3,  61.3,  70.1
Boston-Boston International High School,00350507,  92.7,  10.9,  36.9,  23.8,  32.3
Boston-Charlestown High,00350515,  82.2,  29.9,  68.6,  53.1,  64.5
Boston-David A Ellis,00350072,  91.9,  13.5,  49.4,  27.4,  39.4
Boston-Dearborn,00350074,  91.6,  14.3,  40.9,  24.6,  32.8
Boston-Dennis C Haley,00350077,  94.1,  10.4,  41.1,  18.1,  28.7
Boston-Donald Mckay,00350080,  94.9,   8.8,  36.8,  12.8,  24.3
Boston-Edward Everett,00350088,  93.9,  10.5,  40.4,  18.5,  25.9
Boston-Eliot Elementary,00350096,  98.1,   3.3,   7.2,   2.2,   0.9
Boston-Ellis Mendell,00350100,  94.8,   9.2,  38.0,  13.2,  25.2
Boston-Maurice J Tobin,00350229,  93.3,  11.2,  49.0,  21.4,  22.3
Boston-Michael J Perkins,00350231,  92.7,  12.1,  51.6,  27.0,  35.8
Boston-Mozart,00350237,  94.6,   9.4,  35.7,  12.1,  20.3
Boston-Richard J Murphy,00350240,  94.4,   9.9,  35.9,  14.3,  19.7
Boston-Nathan Hale,00350243,  93.7,  11.0,  44.4,  20.6,  33.1
Boston-Oliver Hazard Perry,00350255,  93.3,  11.7,  50.7,  19.1,  24.9
Boston-Orchard Gardens,00350257,  94.0,  10.4,  41.3,  16.6,  32.3
Boston-William H Ohrenberger,00350258,  94.3,   9.9,  34.5,  17.0,  25.8
Boston-Lyndon,00350262,  95.3,   8.4,  31.7,   8.1,  13.4
Boston-Patrick J Kennedy,00350264,  95.3,   8.1,  32.3,   9.5,  15.8
Boston-Dr. William Henderson Lower,00350266,  93.0,  12.3,  41.6,  17.8,   6.1
Boston-Paul A Dever,00350268,  91.7,  13.4,  58.9,  34.2,  45.5
Boston-William E Russell,00350366,  93.0,  12.0,  49.6,  24.1,  35.2
Boston-William Monroe Trotter,00350370,  90.9,  15.5,  62.5,  36.6,  53.6
Boston-Winship Elementary,00350374,  94.2,   9.6,  39.1,  16.3,  20.2
Boston-Edison K-8,00350375,  91.4,  14.0,  54.4,  30.6,  41.8
Boston-King K-8,00350376,  91.7,  14.0,  54.8,  32.2,  42.2
Boston-Higginson/Lewis K-8,00350377,  92.6,  12.9,  46.9,  22.4,  32.7
Boston-Mildred Avenue K-8,00350378,  94.9,   8.7,  33.0,  10.9,  27.3
Boston-Young Achievers,00350380,  90.7,  16.0,  65.9,  37.9,  58.1
Boston-Mission Hill School,00350382,  95.3,   8.4,  29.7,  11.3,  21.8
Boston-Lilla G. Frederick Middle School,00350383,  91.7,  13.8,  51.7,  30.4,  38.0
Boston-Blackstone,00350390,  91.4,  14.5,  56.5,  33.1,  45.1
Boston-Dr. William Henderson Upper,00350426,  92.6,  12.6,  46.6,  25.2,  26.5
Boston-Clarence R Edwards Middle,00350430,  91.9,  13.8,  52.6,  28.8,  35.9
Boston-Washington Irving Middle,00350445,  90.8,  15.3,  53.1,  31.5,  37.8
Boston-Phineas Bates,00350278,  94.5,   9.5,  43.2,  13.5,  25.2
Boston-Josiah Quincy,00350286,  96.9,   5.4,  16.7,   6.1,   4.9
Boston-Roger Clap,00350298,  93.1,  11.7,  53.8,  24.1,  20.0
Boston-Samuel Adams,00350302,  93.1,  11.8,  50.8,  20.3,  25.4
Boston-James J Chittick,00350154,  93.3,  11.3,  47.4,  20.6,  40.0
Boston-James Otis,00350156,  94.5,   9.4,  36.0,  13.6,  18.3
Boston-John F Kennedy,00350166,  92.5,  12.7,  55.3,  26.4,  41.5
Boston-UP Academy Holland,00350167,  92.3,  13.3,  55.5,  25.7,  49.0
Boston-John D Philbrick,00350172,  94.3,  10.0,  40.4,  15.7,  24.7
Boston-John W McCormack,00350179,  91.8,  13.6,  55.3,  28.8,  42.3
Boston-John Winthrop,00350180,  92.1,  13.5,  57.3,  28.5,  41.8
Boston-Joseph P Tynan,00350181,  90.9,  15.6,  58.6,  35.1,  42.3
Boston-Joseph J Hurley,00350182,  94.6,   9.5,  39.0,  12.6,  29.1
