2018 MCAS Achievement Results,,,,,,,,,,,,,,,,
School Name,School Code,Subject,P+A #,P+A %,A #,A %,P #,P %,NI #,NI %,W/F #,W/F %,No. of Students Included,CPI,Ave. SGP,Included In Ave. SGP
Beverly - Beverly High,00300505,SCIENCE AND TECH/ENG,236,85,135,49,101,36,37,13,4,1,277,  93.9,N/A,N/A
Billerica - Billerica Memorial High School,00310505,ENGLISH LANGUAGE ARTS,313,95,217,66,96,29,13,4,4,1,330,  98.2,  49.6,317
Billerica - Billerica Memorial High School,00310505,MATHEMATICS,298,90,216,65,82,25,27,8,7,2,332,  96.1,  51.7,319
Billerica - Billerica Memorial High School,00310505,SCIENCE AND TECH/ENG,294,92,181,57,113,35,22,7,4,1,320,  97.7,N/A,N/A
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,ENGLISH LANGUAGE ARTS,304,99,218,71,86,28,3,1,0,0,307,  99.5,  57.7,290
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,MATHEMATICS,276,90,200,66,76,25,23,8,6,2,305,  96.3,  56.0,286
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,SCIENCE AND TECH/ENG,275,94,147,50,128,44,16,5,1,0,292,  97.9,N/A,N/A
Blackstone-Millville - Blackstone Millville RHS,06220505,ENGLISH LANGUAGE ARTS,93,89,54,52,39,38,10,10,1,1,104,  96.9,  50.4,97
Blackstone-Millville - Blackstone Millville RHS,06220505,MATHEMATICS,83,80,55,53,28,27,18,17,3,3,104,  92.3,  47.2,95
Blackstone-Millville - Blackstone Millville RHS,06220505,SCIENCE AND TECH/ENG,79,78,36,36,43,43,17,17,5,5,101,  90.1,N/A,N/A
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,ENGLISH LANGUAGE ARTS,189,95,85,43,104,53,9,5,0,0,198,  98.5,  54.7,179
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,MATHEMATICS,154,78,79,40,75,38,39,20,5,3,198,  91.5,  55.3,178
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,SCIENCE AND TECH/ENG,149,80,43,23,106,57,34,18,3,2,186,  92.5,N/A,N/A
Boston - Another Course To College,00350541,ENGLISH LANGUAGE ARTS,42,91,9,20,33,72,4,9,0,0,46,  97.3,  52.3,38
Boston - Another Course To College,00350541,MATHEMATICS,26,55,9,19,17,36,14,30,7,15,47,  78.7,  47.5,38
Boston - Another Course To College,00350541,SCIENCE AND TECH/ENG,11,32,0,0,11,32,17,50,6,18,34,  64.0,N/A,N/A
