2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,      36.2, 100.0,   9.6 to 1,  80.5,  91.7
Berlin - Berlin Memorial,00280005,      18.0, 100.0,  10.2 to 1,  81.3,  93.5
Berlin-Boylston - Tahanto Regional High,06200505,      45.5,  99.1,  13.0 to 1,  92.9,  91.6
Beverly - Ayers/Ryal Side School,00300055,      32.9, 100.0,  15.2 to 1,  87.2,  97.0
Beverly - Beverly High,00300505,      90.6,  98.0,  13.7 to 1,  89.4,  89.4
Beverly - Briscoe Middle,00300305,      73.4, 100.0,  13.6 to 1,  91.1,  89.1
Beverly - Centerville Elementary,00300010,      27.3, 100.0,  13.3 to 1,  86.4, 100.0
Beverly - Cove Elementary,00300015,      34.1, 100.0,  14.4 to 1,  77.4,  94.1
Beverly - Hannah Elementary,00300033,      28.6, 100.0,  13.7 to 1,  85.3, 100.0
Beverly - McKeown School,00300002,       9.0, 100.0,  12.7 to 1,  88.9, 100.0
Beverly - North Beverly Elementary,00300040,      29.8, 100.0,  13.4 to 1,  85.9,  96.6
Billerica - Billerica Memorial High School,00310505,     101.6,  98.0,  13.2 to 1,  86.8,  91.9
Billerica - Eugene C Vining,00310030,      17.7, 100.0,  11.0 to 1,  80.2,  87.0
Billerica - Frederick J Dutile,00310007,      22.7, 100.0,  12.0 to 1,  88.7, 100.0
Billerica - Hajjar Elementary,00310026,      32.3, 100.0,  14.3 to 1,  88.1,  90.6
Billerica - John F Kennedy,00310012,      22.7, 100.0,  13.8 to 1,  94.8,  96.7
Billerica - Locke Middle,00310310,      45.9, 100.0,  11.0 to 1,  90.7,  86.9
Billerica - Marshall Middle School,00310305,      56.1, 100.0,  11.6 to 1,  94.2,  91.1
Billerica - Parker,00310015,      36.6,  97.3,  13.7 to 1,  82.4,  96.1
Billerica - Thomas Ditson,00310005,      39.9, 100.0,  13.4 to 1,  86.2,  93.7
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,      98.4,  96.6,  12.4 to 1,  84.5,  77.3
Blackstone-Millville - A F Maloney,06220015,      20.6, 100.0,  14.5 to 1,  88.6,  97.1
Blackstone-Millville - Blackstone Millville RHS,06220505,      38.0, 100.0,  10.7 to 1,  81.6,  84.2
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,      33.1, 100.0,  12.9 to 1,  84.9,  97.0
Blackstone-Millville - John F Kennedy Elementary,06220008,      22.6, 100.0,  13.1 to 1,  94.0, 100.0
Blackstone-Millville - Millville Elementary,06220010,      20.0, 100.0,  14.3 to 1,  83.5, 100.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,      82.0,  95.1,  10.4 to 1,  80.5,  87.8
Boston - Another Course To College,00350541,      22.1,  83.5,  10.1 to 1,  70.6,  88.7
Boston - Baldwin Early Learning Center,00350003,      14.0, 100.0,  12.4 to 1,  92.9, 100.0
Boston - Beethoven,00350021,      22.4, 100.0,  14.5 to 1,  95.4, 100.0
Boston - Blackstone,00350390,      47.9,  98.0,  12.0 to 1,  67.0,  93.7
Boston - Boston Adult Academy,00350548,      21.4,  84.1,   7.2 to 1,  69.8,  90.5
Boston - Boston Arts Academy,00350546,      47.8,  85.4,   9.8 to 1,  72.6,  89.4
Boston - Boston Collaborative High School,00350755,       7.0, 100.0,  26.0 to 1,  70.8,  85.1
Boston - Boston Community Leadership Academy,00350558,      38.6,  88.9,  12.3 to 1,  85.3,  94.8
Boston - Boston International High School,00350507,      49.5,  95.7,   7.4 to 1,  78.2,  90.8
Boston - Boston Latin,00350560,     117.2, 100.0,  20.9 to 1,  92.8,  91.5
Boston - Boston Latin Academy,00350545,      87.9,  96.7,  20.3 to 1,  89.4,  96.5
Boston - Boston Teachers Union School,00350012,      22.2,  93.4,  12.9 to 1,  93.2, 100.0
Boston - Brighton High,00350505,      57.2,  93.0,  11.9 to 1,  59.5,  75.3
Boston - Carter Developmental Center,00350036,        .7,   0.0,  43.9 to 1,   0.0, 100.0
Boston - Charles H Taylor,00350054,      41.1,  98.4,  12.8 to 1,  74.3,  90.3
Boston - Charles Sumner,00350052,      38.5, 100.0,  15.1 to 1,  92.2,  94.7
Boston - Charlestown High,00350515,      88.6,  90.0,  10.4 to 1,  74.8,  90.3
Boston - Clarence R Edwards Middle,00350430,      32.9, 100.0,   9.3 to 1,  90.9,  93.8
