2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Lexington - Fiske,01550015,      37.2, 100.0,  13.5 to 1,  91.7,  97.3
Lexington - Harrington,01550030,      35.8, 100.0,  13.4 to 1,  71.3,  97.2
Lexington - Jonas Clarke Middle,01550305,      86.5, 100.0,  10.7 to 1,  83.6,  96.3
Lexington - Joseph Estabrook,01550010,      42.3, 100.0,  13.5 to 1,  75.4,  99.5
Lexington - Lexington Children's Place,01550001,       6.9, 100.0,  10.4 to 1, 100.0, 100.0
Lexington - Lexington High,01550505,     170.9,  99.6,  12.9 to 1,  81.9,  91.7
Lexington - Maria Hastings,01550035,      37.8, 100.0,  12.3 to 1,  78.7,  94.7
Lexington - Wm Diamond Middle,01550310,      79.3, 100.0,  11.2 to 1,  83.5,  92.4
Libertas Academy Charter School (District) - Libertas Academy Charter School,35140305,       7.2,  76.4,  12.5 to 1,  23.6,  44.4
Lincoln - Hanscom Middle,01570305,      25.8, 100.0,  10.5 to 1,  87.5,  98.6
Lincoln - Hanscom Primary,01570006,      28.9, 100.0,  11.5 to 1,  83.9,  97.5
Lincoln - Lincoln School,01570025,      63.2, 100.0,   9.3 to 1,  90.8,  99.2
Lincoln-Sudbury - Lincoln-Sudbury Regional High,06950505,     127.2, 100.0,  12.0 to 1,  92.2,  96.7
Littleton - Littleton High School,01580505,      36.6,  99.5,  12.6 to 1,  86.1,  97.3
Littleton - Littleton Middle School,01580305,      26.9, 100.0,  13.5 to 1,  85.2,  85.6
Littleton - Russell St Elementary,01580015,      25.9, 100.0,  14.9 to 1,  71.0,  98.1
Littleton - Shaker Lane Elementary,01580005,      30.1, 100.0,  14.9 to 1,  86.7,  91.7
Longmeadow - Blueberry Hill,01590005,      35.8, 100.0,  12.3 to 1,  94.4,  97.2
Longmeadow - Center,01590010,      34.5, 100.0,  11.7 to 1,  81.7,  94.8
Longmeadow - Glenbrook Middle,01590017,      27.7,  98.7,  12.4 to 1,  87.9,  96.4
Longmeadow - Longmeadow High,01590505,      76.3, 100.0,  12.6 to 1,  96.1,  97.4
Longmeadow - Williams Middle,01590305,      27.7,  97.7,  11.9 to 1,  89.8,  96.4
Longmeadow - Wolf Swamp Road,01590025,      33.3, 100.0,  12.1 to 1,  94.0,  97.0
Lowell - Abraham Lincoln,01600020,      35.0, 100.0,  13.9 to 1,  82.9,  97.1
Lowell - B.F. Butler Middle School,01600310,      43.4, 100.0,  12.3 to 1,  76.5,  76.1
Lowell - Bartlett Community Partnership,01600090,      39.8, 100.0,  13.1 to 1,  83.3,  81.6
Lowell - Charles W Morey,01600030,      35.9,  97.2,  14.3 to 1,  97.2, 100.0
Lowell - Charlotte M Murkland Elementary,01600080,      37.8, 100.0,  13.3 to 1,  84.1,  97.4
Lowell - Dr An Wang School,01600345,      49.5,  98.0,  14.0 to 1,  87.5,  87.5
Lowell - Dr Gertrude Bailey,01600002,      33.0,  97.0,  14.8 to 1,  94.0, 100.0
Lowell - Greenhalge,01600015,      37.0,  97.3,  13.6 to 1,  70.2, 100.0
Lowell - Henry J Robinson Middle,01600330,      50.8,  99.8,  13.1 to 1,  80.4,  80.3
Lowell - James S Daley Middle School,01600315,      46.6, 100.0,  15.0 to 1,  89.3,  97.9
Lowell - James Sullivan Middle School,01600340,      46.5, 100.0,  13.8 to 1,  87.1,  89.2
Lowell - John J Shaughnessy,01600050,      34.0,  97.1,  13.6 to 1,  82.3,  94.1
Lowell - Joseph McAvinnue,01600010,      34.0, 100.0,  14.3 to 1,  88.2,  94.1
Lowell - Kathryn P. Stoklosa Middle School,01600360,      48.9, 100.0,  14.0 to 1,  90.8,  86.7
Lowell - Laura Lee Therapeutic Day School,01600085,       7.1, 100.0,   3.2 to 1,  65.2,  65.2
Lowell - Leblanc Therapeutic Day School,01600320,       7.1,  85.9,   5.1 to 1,  84.3,  84.3
Lowell - Lowell Day School on Broadway,01600605,       8.0,  75.0,   3.3 to 1,  37.6,  50.0
Lowell - Lowell High,01600505,     213.9,  95.3,  14.7 to 1,  84.4,  90.6
Lowell - Moody Elementary,01600027,      19.3,  94.8,  12.6 to 1,  92.2,  94.8
Lowell - Pawtucketville Memorial,01600036,      36.0, 100.0,  14.2 to 1,  80.5,  88.8
Lowell - Peter W Reilly,01600040,      40.2, 100.0,  13.5 to 1,  95.0,  97.5
Lowell - Pyne Arts,01600018,      36.0,  97.2,  13.6 to 1,  77.2,  85.5
Lowell - Rogers STEM Academy,01600005,      44.9, 100.0,  15.2 to 1,  82.2,  93.4
Lowell - S Christa McAuliffe Elementary,01600075,      35.7, 100.0,  13.5 to 1,  91.6,  97.2
Lowell - The Career Academy,01600515,       9.4, 100.0,  12.1 to 1, 100.0, 100.0
Lowell - Washington,01600055,      20.5,  95.1,  12.1 to 1,  82.9, 100.0
Lowell Community Charter Public (District) - Lowell Community Charter Public School,04560050,      63.5,  95.3,  12.8 to 1,  46.4,  89.0
Lowell Middlesex Academy Charter (District) - Lowell Middlesex Academy Charter School,04580505,      10.5,  52.4,   8.7 to 1,  66.7,  71.4
Ludlow - Chapin Street Elementary School,01610020,      25.5, 100.0,  12.6 to 1,  98.0, 100.0
Ludlow - East Street Elementary School,01610010,      32.5, 100.0,  12.3 to 1,  96.9,  96.9
Ludlow - Ludlow Senior High,01610505,      79.9,  99.9,  11.2 to 1,  94.9,  90.0
Ludlow - Paul R Baird Middle,01610305,      56.8, 100.0,  11.2 to 1,  97.9,  96.5
Ludlow - Veterans Park Elementary,01610023,      28.7, 100.0,  13.7 to 1,  80.8, 100.0
Lunenburg - Advanced Community Experience Program,01620605,       2.0, 100.0,   4.4 to 1,  50.7, 100.0
Lunenburg - Lunenburg High,01620505,      34.6, 100.0,  12.8 to 1,  94.2,  94.2
Lunenburg - Lunenburg Middle School,01620305,      28.9, 100.0,  14.7 to 1,  82.3,  86.1
Lunenburg - Lunenburg Primary School,01620010,      25.0, 100.0,  15.7 to 1,  89.9, 100.0
Lunenburg - Turkey Hill Elementary School,01620025,      24.5, 100.0,  15.2 to 1,  77.6,  98.0
Lynn - A Drewicz Elementary,01630016,      34.6, 100.0,  14.2 to 1,  57.0,  91.0
Lynn - Aborn,01630011,      16.9, 100.0,  15.0 to 1,  97.4, 100.0
Lynn - Breed Middle School,01630405,      88.0,  93.2,  15.1 to 1,  67.9,  79.3
Lynn - Brickett Elementary,01630020,      21.3, 100.0,  14.2 to 1,  88.0,  97.6
Lynn - Capt William G Shoemaker,01630090,      30.5, 100.0,  10.8 to 1,  93.1,  99.3
Lynn - Classical High,01630505,     101.3,  95.1,  16.4 to 1,  86.9,  84.0
Lynn - Cobbet Elementary,01630035,      43.5, 100.0,  14.7 to 1,  74.7,  93.1
Lynn - E J Harrington,01630045,      46.4,  97.8,  13.6 to 1,  76.1,  99.8
Lynn - Early Childhood Center,01630004,      23.0, 100.0,  13.0 to 1,  73.8,  85.8
Lynn - Edward A Sisson,01630095,      27.7, 100.0,  15.6 to 1,  99.6,  99.6
Lynn - Fecteau-Leary Junior/Senior High School,01630525,      26.2,  96.2,   4.1 to 1,  88.5,  77.1
Lynn - Hood,01630055,      30.9, 100.0,  15.8 to 1,  58.6,  94.2
Lynn - Ingalls,01630060,      42.3, 100.0,  15.4 to 1,  76.4,  88.2
Lynn - Julia F Callahan,01630030,      31.6, 100.0,  14.5 to 1,  60.8,  82.0
Lynn - Lincoln-Thomson,01630070,      19.7, 100.0,  12.2 to 1,  97.6,  97.6
Lynn - Lynn English High,01630510,     105.9,  97.2,  16.3 to 1,  85.7,  84.8
Lynn - Lynn Vocational Technical Institute,01630605,      81.8,  91.4,  12.3 to 1,  77.7,  80.0
Lynn - Lynn Woods,01630075,      10.4, 100.0,  15.7 to 1,  96.6,  96.6
Lynn - Pickering Middle,01630420,      47.4, 100.0,  13.0 to 1,  89.2,  91.3
Lynn - Robert L Ford,01630050,      32.1,  96.9,  15.3 to 1,  53.9,  85.0
Lynn - Sewell-Anderson,01630085,      22.2, 100.0,  14.0 to 1,  95.7,  97.5
Lynn - Thurgood Marshall Mid,01630305,      85.0,  96.5,  15.2 to 1,  73.8,  71.8
Lynn - Tracy,01630100,      31.7, 100.0,  13.7 to 1,  86.6,  97.5
Lynn - Washington Elementary School,01630005,      32.3, 100.0,  14.5 to 1,  72.4,  82.2
Lynn - William R Fallon,01630080,       9.6, 100.0,   5.2 to 1,  89.6, 100.0
Lynn - Wm P Connery,01630040,      41.7,  97.6,  15.4 to 1,  78.6,  86.9
Lynnfield - Huckleberry Hill,01640010,      29.0, 100.0,  14.7 to 1,  89.0, 100.0
Lynnfield - Lynnfield High,01640505,      53.2, 100.0,  12.2 to 1,  92.7,  98.1
Lynnfield - Lynnfield Middle School,01640405,      52.3, 100.0,  12.9 to 1,  88.1,  97.6
Lynnfield - Lynnfield Preschool,01640005,       1.6, 100.0,  23.8 to 1,  37.5, 100.0
Lynnfield - Summer Street,01640020,      29.1, 100.0,  14.8 to 1,  80.8, 100.0
MATCH Charter Public School (District) - MATCH Charter Public School,04690505,     102.9,  61.5,  11.9 to 1,  32.4,  90.3
Ma Academy for Math and Science - Ma Academy for Math and Science School,04680505,       6.0, 100.0,  16.0 to 1,  83.3,  83.3
Malden - Beebe,01650003,      63.5, 100.0,  14.1 to 1,  93.7,  96.9
Malden - Ferryway,01650013,      60.2, 100.0,  14.5 to 1,  81.7,  98.3
Malden - Forestdale,01650027,      47.5, 100.0,  11.5 to 1,  74.7,  95.8
Malden - Linden,01650047,      66.5, 100.0,  13.1 to 1,  77.4,  95.5
Malden - Malden Early Learning Center,01650049,      22.0, 100.0,  14.3 to 1,  72.7, 100.0
Malden - Malden High,01650505,     115.0,  99.1,  15.8 to 1,  88.7,  94.8
Malden - Salemwood,01650057,      83.0, 100.0,  14.7 to 1,  74.7,  86.8
Manchester Essex Regional - Essex Elementary,06980020,      15.7, 100.0,  14.5 to 1,  94.3,  94.3
Manchester Essex Regional - Manchester Essex Regional High School,06980510,      42.6,  97.7,  10.4 to 1,  90.5,  90.6
Manchester Essex Regional - Manchester Essex Regional Middle School,06980030,      33.3, 100.0,  11.2 to 1,  77.6,  98.8
Manchester Essex Regional - Manchester Memorial Elementary,06980010,      23.2, 100.0,  14.8 to 1,  95.7,  95.7
Mansfield - Everett W Robinson,01670007,      51.0, 100.0,  14.0 to 1,  92.2,  98.0
Mansfield - Harold L Qualters Middle,01670035,      82.4, 100.0,  11.4 to 1,  96.4,  94.6
Mansfield - Jordan/Jackson Elementary,01670014,      58.4, 100.0,  13.5 to 1,  92.5,  95.9
Mansfield - Mansfield High,01670505,     101.2, 100.0,  13.0 to 1,  95.0,  92.1
Mansfield - Roland Green School,01670003,       6.0, 100.0,  16.2 to 1,  83.3, 100.0
Marblehead - Elbridge Gerry,01680015,       7.4, 100.0,  18.7 to 1,  86.4, 100.0
Marblehead - Glover,01680020,      28.7, 100.0,  12.9 to 1,  80.5,  93.7
Marblehead - L H Coffin,01680010,      13.0,  92.3,  11.7 to 1,  88.5, 100.0
Marblehead - Malcolm L Bell,01680005,      25.7, 100.0,  10.6 to 1,  89.9,  97.7
Marblehead - Marblehead High,01680505,      88.0, 100.0,  11.8 to 1,  81.0,  90.9
Marblehead - Marblehead Veterans Middle School,01680300,      40.5, 100.0,  12.1 to 1,  87.4,  92.6
Marblehead - Village School,01680016,      57.7, 100.0,  11.0 to 1,  80.9, 100.0
Marblehead Community Charter Public (District) - Marblehead Community Charter Public School,04640305,      20.5,  87.3,  11.2 to 1,  51.2,  65.9
Marion - Sippican,01690005,      34.8, 100.0,  13.0 to 1,  80.5,  97.7
Marlborough - 1 LT Charles W. Whitcomb School,01700045,     118.8,  99.2,  11.0 to 1,  83.2,  94.9
Marlborough - Charles Jaworek School,01700030,      62.3, 100.0,  12.2 to 1,  70.9,  93.6
Marlborough - Early Childhood Center,01700006,      10.0, 100.0,  17.4 to 1,  90.0, 100.0
Marlborough - Francis J Kane,01700008,      48.9, 100.0,  12.6 to 1,  83.6, 100.0
Marlborough - Marlborough High,01700505,      98.2, 100.0,  11.3 to 1,  83.3,  90.4
Marlborough - Richer,01700025,      48.8, 100.0,  12.4 to 1,  75.6,  98.0
Marshfield - Daniel Webster,01710015,      27.0, 100.0,  14.9 to 1,  88.9, 100.0
Marshfield - Eames Way School,01710005,      18.5, 100.0,  13.1 to 1,  90.9, 100.0
Marshfield - Furnace Brook Middle,01710310,      76.2, 100.0,  12.7 to 1,  86.9,  93.4
Marshfield - Gov Edward Winslow,01710020,      32.1, 100.0,  12.9 to 1,  87.5,  93.8
Marshfield - Marshfield High,01710505,     108.3,  99.1,  12.4 to 1,  87.9,  91.7
Marshfield - Martinson Elementary,01710025,      36.6, 100.0,  11.7 to 1,  88.2,  97.3
Marshfield - South River,01710010,      26.1, 100.0,  14.3 to 1,  92.3, 100.0
Martha's Vineyard - Martha's Vineyard Regional High,07000505,      71.2,  97.3,   8.9 to 1,  86.7,  85.3
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,04660550,      16.6,  93.1,  11.1 to 1,  76.0,  57.4
Martin Luther King Jr. Charter School of Excellence (District) - Martin Luther King Jr. Charter School of Excellence,04920005,      34.9,  75.4,  10.4 to 1,  69.4,  88.5
Masconomet - Masconomet Regional High School,07050505,      80.8, 100.0,  14.2 to 1,  93.3,  96.0
Masconomet - Masconomet Regional Middle School,07050405,      48.1,  99.2,  13.6 to 1,  90.9,  95.8
Mashpee - Kenneth Coombs School,01720005,      33.4, 100.0,  12.5 to 1,  88.0,  94.0
Mashpee - Mashpee High,01720505,      42.1, 100.0,  10.7 to 1,  87.9,  95.5
Mashpee - Mashpee Middle School,01720020,      21.6, 100.0,  12.5 to 1,  88.5,  90.3
Mashpee - Quashnet School,01720035,      43.1, 100.0,  11.3 to 1,  74.5,  95.4
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District - Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010900,      32.6, 100.0,  18.0 to 1,  61.3,  87.7
Mattapoisett - Center,01730005,      20.2, 100.0,  11.8 to 1,  94.3,  94.3
Mattapoisett - Old Hammondtown,01730010,      17.6, 100.0,  11.7 to 1,  85.0,  99.2
Maynard - Fowler School,01740305,      39.0, 100.0,  13.4 to 1,  89.7,  92.3
Maynard - Green Meadow,01740010,      29.5,  96.6,  16.5 to 1,  88.1,  96.6
Maynard - Maynard High,01740505,      30.0,  99.3,  13.0 to 1,  90.5,  90.0
Medfield - Dale Street,01750005,      28.9, 100.0,  12.6 to 1,  88.7,  92.1
Medfield - Medfield Senior High,01750505,      66.1,  98.5,  12.5 to 1,  79.6,  89.7
Medfield - Memorial School,01750003,      25.6, 100.0,  17.0 to 1,  83.8,  96.1
Medfield - Ralph Wheelock School,01750007,      25.7, 100.0,  14.7 to 1,  93.1,  98.3
Medfield - Thomas Blake Middle,01750305,      55.6, 100.0,  11.2 to 1,  94.1, 100.0
Medford - Brooks School,01760130,      42.0, 100.0,  12.0 to 1,  81.0, 100.0
Medford - Christopher Columbus,01760140,      36.5, 100.0,  10.3 to 1,  78.1, 100.0
Medford - Curtis-Tufts,01760510,       5.4, 100.0,   2.4 to 1,  57.9,  98.1
Medford - John J McGlynn Elementary School,01760068,      38.6, 100.0,  13.6 to 1,  76.7,  97.5
Medford - John J. McGlynn Middle School,01760320,      51.4, 100.0,   9.0 to 1,  69.8,  97.1
Medford - Madeleine Dugger Andrews,01760315,      47.0, 100.0,  10.6 to 1,  76.6,  90.4
Medford - Medford High,01760505,     139.3,  97.1,  10.1 to 1,  74.8,  83.9
Medford - Milton Fuller Roberts,01760150,      44.3, 100.0,  12.2 to 1,  72.9,  97.7
Medway - Burke/Memorial Elementary School,01770015,      31.9, 100.0,  15.8 to 1,  87.4,  93.7
Medway - John D Mc Govern Elementary,01770013,      20.5, 100.0,  16.4 to 1,  72.3, 100.0
Medway - Medway High,01770505,      46.5,  97.9,  15.6 to 1,  83.4,  94.6
Medway - Medway Middle,01770305,      56.8, 100.0,  12.4 to 1,  92.1,  94.7
Melrose - Early Childhood Center,01780003,      14.6,  93.2,  21.7 to 1,  85.8,  95.5
Melrose - Herbert Clark Hoover,01780017,      20.8, 100.0,  13.0 to 1,  71.1,  97.6
Melrose - Horace Mann,01780025,      17.3, 100.0,  16.3 to 1,  81.2,  94.2
Melrose - Lincoln,01780020,      30.8, 100.0,  13.6 to 1,  77.3, 100.0
Melrose - Melrose High,01780505,      70.0, 100.0,  14.3 to 1,  83.1,  92.0
Melrose - Melrose Middle,01780305,      57.9, 100.0,  13.4 to 1,  80.7,  81.9
Melrose - Roosevelt,01780035,      29.5,  96.6,  14.8 to 1,  72.0,  96.6
Melrose - Winthrop,01780050,      26.3, 100.0,  15.4 to 1,  67.6,  94.3
Mendon-Upton - Henry P Clough,07100179,      25.5, 100.0,  14.6 to 1,  92.2, 100.0
Mendon-Upton - Memorial School,07100001,      31.0,  96.8,  15.4 to 1,  83.9,  93.5
Mendon-Upton - Miscoe Hill School,07100015,      54.6, 100.0,  14.3 to 1,  97.3,  95.4
Mendon-Upton - Nipmuc Regional High,07100510,      47.7,  98.7,  13.3 to 1,  82.0,  87.4
Methuen - Comprehensive Grammar School,01810050,      77.0,  98.7,  14.0 to 1,  81.8,  97.4
Methuen - Donald P Timony Grammar,01810060,      93.5, 100.0,  14.5 to 1,  84.8,  94.7
Methuen - Marsh Grammar School,01810030,      84.0,  99.0,  14.3 to 1,  89.2,  96.1
Methuen - Methuen High,01810505,     143.7,  97.2,  13.6 to 1,  85.0,  85.1
Methuen - Tenney Grammar School,01810055,      91.4, 100.0,  14.8 to 1,  94.3,  97.8
Middleborough - Henry B. Burkland Elementary School,01820008,      42.0, 100.0,  13.4 to 1,  73.8,  95.2
Middleborough - John T. Nichols Middle,01820305,      51.8, 100.0,  15.1 to 1,  94.2,  96.2
Middleborough - Mary K. Goode Elementary School,01820010,      43.0, 100.0,  13.8 to 1,  83.7, 100.0
Middleborough - Memorial Early Childhood Center,01820011,      19.0, 100.0,  15.3 to 1,  94.7, 100.0
Middleborough - Middleborough High,01820505,      67.2,  98.5,  10.7 to 1,  92.6,  94.0
Middleton - Fuller Meadow,01840003,      20.7, 100.0,  11.0 to 1,  84.3, 100.0
Middleton - Howe-Manning,01840005,      36.0, 100.0,  12.8 to 1,  93.8,  97.2
Milford - Brookside,01850065,      40.6, 100.0,  11.7 to 1,  90.7,  97.5
Milford - Memorial,01850010,      38.7, 100.0,  12.1 to 1,  87.9,  94.8
Milford - Milford High,01850505,      87.1,  99.9,  13.2 to 1,  90.4,  88.1
Milford - Shining Star Early Childhood Center,01850075,       6.6, 100.0,  22.0 to 1,  38.9,  84.7
Milford - Stacy Middle,01850305,      77.8, 100.0,  12.6 to 1,  89.5,  88.4
Milford - Woodland,01850090,      79.9, 100.0,  12.1 to 1,  88.7, 100.0
Millbury - Elmwood Street,01860017,      38.0, 100.0,  15.3 to 1,  81.6,  97.4
Millbury - Millbury Junior/Senior High,01860505,      60.6, 100.0,  11.8 to 1,  81.8,  82.5
Millbury - Raymond E. Shaw Elementary,01860025,      28.7, 100.0,  15.2 to 1,  72.1,  96.5
Millis - Clyde F Brown,01870005,      34.9, 100.0,  14.4 to 1,  95.7, 100.0
Millis - Millis High School,01870505,      26.5, 100.0,  14.8 to 1,  96.2,  96.2
Millis - Millis Middle,01870020,      30.9,  96.8,  13.2 to 1,  90.3,  98.7
Milton - Charles S Pierce Middle,01890410,      76.7,  96.1,  11.9 to 1,  79.5,  88.5
Milton - Collicot,01890005,      41.5,  99.3,  17.2 to 1,  78.3,  98.3
Milton - Cunningham School,01890007,      35.1, 100.0,  15.1 to 1,  76.4,  90.6
Milton - Glover,01890010,      38.3,  97.4,  15.3 to 1,  75.2,  90.9
Milton - Milton High,01890505,      77.7, 100.0,  13.2 to 1,  83.3,  87.4
Milton - Tucker,01890020,      29.7, 100.0,  14.8 to 1,  83.2,  88.2
Minuteman Regional Vocational Technical - Minuteman Regional High,08300605,      73.7,  97.3,   7.3 to 1,  89.3,  86.4
Mohawk Trail - Buckland-Shelburne Regional,07170005,      18.2, 100.0,  15.0 to 1,  78.0,  83.5
Mohawk Trail - Colrain Central,07170010,       8.9,  95.5,  11.9 to 1,  95.5, 100.0
Mohawk Trail - Mohawk Trail Regional High,07170505,      36.9, 100.0,  10.5 to 1,  86.5,  94.6
Mohawk Trail - Sanderson Academy,07170020,      13.4, 100.0,  11.9 to 1,  77.6,  92.5
Monomoy Regional School District - Chatham Elementary School,07120001,      24.5,  91.8,   9.9 to 1,  73.5, 100.0
Monomoy Regional School District - Harwich Elementary School,07120002,      48.5,  97.9,  11.3 to 1,  86.6,  99.0
Monomoy Regional School District - Monomoy Regional High School,07120515,      58.9,  98.3,  10.5 to 1,  82.4,  84.5
Monomoy Regional School District - Monomoy Regional Middle School,07120315,      44.9, 100.0,  10.1 to 1,  76.2,  89.7
Monson - Granite Valley Middle,01910310,      26.5,  98.1,  10.5 to 1,  75.5,  93.4
Monson - Monson High School,01910505,      26.5,  98.1,   9.7 to 1,  79.2,  88.7
Monson - Quarry Hill Community School,01910025,      30.5, 100.0,  12.9 to 1,  90.2,  99.2
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,08320605,     113.5,  99.1,  12.5 to 1,  85.5,  82.4
Mount Greylock - Mt Greylock Regional High,07150505,      45.5, 100.0,  11.8 to 1,  93.4,  95.6
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,04700105,     100.5,  53.2,  15.6 to 1,  41.8,  76.6
Nahant - Johnson,01960010,       9.5,  97.9,  15.5 to 1,  91.1,  97.9
Nantucket - Cyrus Peirce,01970010,      33.0,  93.9,  10.5 to 1,  69.7,  87.9
Nantucket - Nantucket Elementary,01970005,      32.9,  97.0,  11.0 to 1,  72.6,  84.8
Nantucket - Nantucket High,01970505,      47.0,  96.6,  11.3 to 1,  70.6,  65.9
Nantucket - Nantucket Intermediate School,01970020,      29.5,  96.6,  12.7 to 1,  83.1,  93.2
Narragansett - Baldwinville Elementary,07200005,      17.2, 100.0,  16.8 to 1,  76.7,  73.9
Narragansett - Narragansett Middle,07200305,      29.3, 100.0,  15.6 to 1,  93.2,  88.0
Narragansett - Narragansett Regional High,07200505,      31.3,  93.6,  11.0 to 1,  77.6,  85.6
Narragansett - Phillipston Memorial,07200003,       9.0,  88.9,  18.8 to 1, 100.0,  97.8
Narragansett - Templeton Center,07200020,      10.8, 100.0,  15.7 to 1, 100.0,  97.0
Nashoba - Center School,07250020,      41.7, 100.0,  13.6 to 1,  79.4,  98.6
Nashoba - Florence Sawyer School,07250025,      60.6, 100.0,  12.6 to 1,  82.6,  98.4
Nashoba - Hale,07250310,      23.4, 100.0,  12.9 to 1,  79.0,  95.7
Nashoba - Luther Burbank Middle School,07250305,      23.2, 100.0,  10.7 to 1,  87.8,  91.4
Nashoba - Mary Rowlandson Elementary,07250010,      36.3, 100.0,  13.0 to 1,  87.0,  94.5
Nashoba - Nashoba Regional,07250505,      75.2,  98.7,  13.1 to 1,  84.8,  93.6
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,08520605,      64.0,  98.4,  10.9 to 1,  73.4,  68.8
Natick - Bennett-Hemenway,01980005,      38.7, 100.0,  15.3 to 1,  89.7, 100.0
Natick - Brown,01980010,      37.4, 100.0,  14.0 to 1,  64.7,  86.1
Natick - J F Kennedy Middle School,01980305,      53.0, 100.0,  12.1 to 1,  90.6,  91.5
Natick - Johnson,01980031,      20.4,  98.0,  11.2 to 1,  77.7, 100.0
Natick - Lilja Elementary,01980035,      27.9, 100.0,  15.4 to 1,  82.1,  89.2
Natick - Memorial,01980043,      27.8, 100.0,  14.9 to 1,  83.5,  96.4
Natick - Natick High,01980505,     120.8, 100.0,  14.3 to 1,  82.9,  89.2
Natick - Wilson Middle,01980310,      77.9,  99.9,  12.1 to 1,  68.3,  87.8
Nauset - Nauset Regional High,06600505,      81.6,  97.7,  11.2 to 1,  84.0,  89.2
Nauset - Nauset Regional Middle,06600305,      55.1,  97.7,  10.0 to 1,  81.8,  96.0
Needham - Broadmeadow,01990005,      32.4, 100.0,  16.8 to 1,  90.7,  90.7
Needham - High Rock School,01990410,      37.8, 100.0,  11.9 to 1,  96.0,  97.4
Needham - Hillside Elementary,01990035,      33.1, 100.0,  14.7 to 1,  87.9,  92.7
Needham - John Eliot,01990020,      24.2, 100.0,  16.2 to 1,  87.6, 100.0
Needham - Needham High,01990505,     124.6,  99.2,  13.5 to 1,  84.2,  93.6
Needham - Newman Elementary,01990050,      51.5,  97.2,  14.7 to 1,  83.6,  99.1
Needham - Pollard Middle,01990405,      74.0, 100.0,  11.5 to 1,  78.4,  87.0
Needham - William Mitchell,01990040,      30.6,  99.8,  16.3 to 1,  89.4,  99.8
Neighborhood House Charter (District) - Neighborhood House Charter School,04440205,      57.8,  60.7,   9.2 to 1,  27.6,  84.4
New Bedford - Abraham Lincoln,02010095,      43.1, 100.0,  16.6 to 1,  86.1,  97.7
New Bedford - Alfred J Gomes,02010063,      39.0,  97.4,  14.2 to 1,  66.7,  92.4
New Bedford - Betsey B Winslow,02010140,      17.9,  98.6,  17.3 to 1,  71.9,  90.1
New Bedford - Carlos Pacheco,02010105,      27.8,  96.4,  12.9 to 1,  50.4,  92.7
New Bedford - Casimir Pulaski,02010123,      48.5,  95.9,  15.0 to 1,  87.6, 100.0
New Bedford - Charles S Ashley,02010010,      18.2,  97.4,  15.5 to 1,  81.4,  94.5
New Bedford - Elizabeth Carter Brooks,02010015,      16.6,  91.3,  18.0 to 1,  91.3, 100.0
New Bedford - Ellen R Hathaway,02010075,      22.6,  97.7,  13.4 to 1,  44.3,  82.3
New Bedford - Elwyn G Campbell,02010020,      18.3,  94.5,  15.0 to 1,  86.2,  91.8
New Bedford - Hayden/McFadden,02010078,      54.1,  92.6,  12.5 to 1,  33.4,  90.7
New Bedford - Irwin M. Jacobs Elementary School,02010070,      23.2,  97.0,  14.9 to 1,  64.4,  89.1
New Bedford - James B Congdon,02010040,      24.2, 100.0,  13.9 to 1,  81.6,  90.9
New Bedford - Jireh Swift,02010130,      13.4, 100.0,  16.1 to 1,  96.6,  96.3
New Bedford - John Avery Parker,02010115,      20.5,  90.3,  13.9 to 1,  41.5,  85.3
New Bedford - John B Devalles,02010050,      25.2,  97.1,  15.4 to 1,  66.4,  88.1
New Bedford - Keith Middle School,02010405,      72.0,  88.2,  12.4 to 1,  57.0,  84.7
New Bedford - New Bedford High,02010505,     162.1,  94.3,  12.1 to 1,  71.7,  78.3
New Bedford - Normandin Middle School,02010410,      78.6,  96.2,  16.0 to 1,  80.3,  78.3
New Bedford - Renaissance Community School for the Arts,02010124,      20.3,  95.1,  11.0 to 1,  49.4,  95.1
New Bedford - Roosevelt Middle School,02010415,      66.0,  97.0,  12.2 to 1,  78.8,  83.3
New Bedford - Sgt Wm H Carney Academy,02010045,      50.0,  86.0,  15.6 to 1,  66.0,  96.0
New Bedford - Thomas R Rodman,02010125,      12.3,  92.9,  15.9 to 1,  88.9, 100.0
New Bedford - Trinity Day Academy,02010510,       9.7,  74.1,   8.2 to 1,  58.6,  89.6
New Bedford - Whaling City Junior/Senior High School,02010515,      15.7,  93.6,   6.4 to 1,  61.8,  55.4
New Bedford - William H Taylor,02010135,      17.8, 100.0,  14.7 to 1,  86.4,  97.3
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,      31.5,  68.3,  13.4 to 1,  19.0,  71.4
New Salem-Wendell - Swift River,07280015,      14.3, 100.0,  10.6 to 1,  65.3,  86.0
