2017-18 Enrollment By Race/Gender Report (School) ,,,,,,,,,,
School Name,School Code,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Boston - Boston Community Leadership Academy,00350558,  34.8,   5.3,  52.7,   5.1,   0.4,   0.0,   1.7,  51.9,  48.1
Boston - Boston International High School,00350507,  43.4,   4.1,  48.4,   2.5,   0.0,   0.8,   0.8,  55.5,  44.5
Boston - Boston Latin,00350560,   7.9,  29.1,  12.7,  45.9,   0.1,   0.2,   4.0,  44.6,  55.4
Boston - Boston Latin Academy,00350545,  21.8,  21.8,  23.5,  29.4,   0.3,   0.2,   3.1,  42.2,  57.7
Boston - Boston Teachers Union School,00350012,  25.4,   1.7,  37.6,  31.4,   0.0,   0.0,   3.8,  55.1,  44.9
Boston - Brighton High,00350505,  42.2,   4.0,  47.7,   4.4,   0.7,   0.1,   0.9,  61.4,  38.6
Boston - Carter Developmental Center,00350036,  51.7,  10.3,  20.7,  13.8,   0.0,   3.4,   0.0,  62.1,  37.9
Boston - Charles H Taylor,00350054,  76.5,   0.8,  18.8,   0.6,   0.9,   0.0,   2.5,  51.6,  48.4
Boston - Charles Sumner,00350052,  19.4,   1.7,  59.9,  13.9,   0.0,   0.2,   4.8,  53.7,  46.3
Boston - Charlestown High,00350515,  32.6,  13.2,  48.4,   4.7,   0.1,   0.0,   1.1,  58.3,  41.6
Boston - Clarence R Edwards Middle,00350430,  13.1,   7.5,  70.3,   6.9,   0.0,   0.0,   2.3,  56.2,  43.8
Boston - Community Academy,00350518,  41.8,   0.0,  21.5,  35.4,   0.0,   0.0,   1.3,  53.2,  46.8
Boston - Community Academy of Science and Health,00350581,  66.8,   3.1,  25.4,   2.1,   0.3,   0.0,   2.3,  53.7,  46.3
Boston - Curley K-8 School,00350020,  19.3,   2.4,  51.4,  21.3,   0.1,   0.1,   5.4,  51.5,  48.5
Boston - Curtis Guild,00350062,   1.0,   0.7,  80.0,  18.0,   0.0,   0.0,   0.3,  50.5,  49.5
Boston - Dante Alighieri Montessori School,00350066,   2.2,   1.1,  56.5,  35.9,   0.0,   0.0,   4.3,  41.3,  58.7
Boston - David A Ellis,00350072,  39.6,   0.0,  54.9,   2.6,   0.7,   0.0,   2.2,  50.3,  49.7
Boston - Dearborn,00350074,  66.7,   0.3,  28.0,   1.1,   0.3,   0.6,   3.1,  51.1,  48.9
Boston - Dennis C Haley,00350077,  30.6,   1.1,  37.6,  24.6,   0.2,   0.2,   5.6,  51.2,  48.8
Boston - Donald Mckay,00350080,   2.1,   0.5,  88.9,   7.5,   0.1,   0.0,   0.9,  49.4,  50.6
Boston - Dorchester Academy,00350651,  69.0,   2.4,  19.0,   9.5,   0.0,   0.0,   0.0,  47.6,  52.4
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,  51.9,   1.1,  42.9,   2.1,   0.5,   0.0,   1.6,  52.4,  47.6
Boston - Dr. William Henderson Lower,00350266,  31.6,  14.6,  16.0,  33.5,   0.0,   0.5,   3.8,  48.6,  51.4
Boston - Dr. William Henderson Upper,00350426,  41.4,   7.1,  25.4,  22.8,   0.3,   0.0,   3.0,  53.8,  46.2
Boston - East Boston Early Childhood Center,00350009,   9.6,   2.5,  59.9,  25.4,   0.0,   0.5,   2.0,  49.7,  50.3
Boston - East Boston High,00350530,   7.0,   1.6,  78.8,  11.1,   0.4,   0.0,   1.2,  57.2,  42.8
Boston - Edison K-8,00350375,  19.8,  16.5,  45.5,  14.0,   1.4,   0.2,   2.5,  54.0,  46.0
Boston - Edward Everett,00350088,  41.5,  18.4,  30.5,   3.7,   0.4,   0.0,   5.5,  49.3,  50.7
Boston - ELC - West Zone,00350006,  28.7,   7.0,  38.3,  21.7,   0.9,   0.0,   3.5,  57.4,  42.6
Boston - Eliot Elementary,00350096,   7.4,   9.3,  17.2,  59.4,   0.2,   0.2,   6.5,  50.4,  49.6
Boston - Ellis Mendell,00350100,  22.8,   0.7,  31.8,  36.0,   0.4,   0.0,   8.2,  50.9,  49.1
Boston - Excel High School,00350522,  37.3,  23.0,  30.5,   7.3,   0.0,   0.0,   1.8,  61.3,  38.7
Boston - Fenway High School,00350540,  31.0,   3.3,  59.9,   4.1,   0.0,   0.3,   1.4,  49.2,  50.8
